KODE_PROV,PROVINSI,NILAI,,,,
1100,Aceh,26.4,,,,
1200,Sumatera Utara,24.4,,,,
1300,Sumatera Barat,25.6,,,,
1400,Riau,25.1,,,,
1500,Jambi,27,,,,
1600,Sumatera Selatan,19.3,,,,
1700,Bengkulu,22.9,,,,
1800,Lampung,24.8,,,,
1900,Kep Bangka Belitung,21.9,,,,
2100,Kepulauan Riau,22.8,,,,
3100,Jakarta,20.1,,,,
3200,Jawa Barat,25.1,,,,
3300,Jawa Tengah,23.9,,,,
3400,Yogyakarta,21.8,,,,
3500,Jawa Timur,26.1,,,,
3600,Banten,27,,,,
5100,Bali,19.7,,,,
5200,Nusa Tenggara Barat,30,,,,
5300,Nusa Tenggara Timur,38.7,,,,
6100,Kalimantan Barat,34.9,,,,
6200,Kalimantan Tengah,34.1,,,,
6300,Kalimantan Selatan,31.1,,,,
6400,Kalimantan Timur,27.1,,,,
6500,Kalimantan Utara,31.6,,,,
7100,Sulawesi Utara,21.2,,,,
7200,Sulawesi Tengah,32,,,,
7300,Sulawesi Selatan,35.6,,,,
7400,Sulawesi Tenggara,29.5,,,,
7500,Gorontalo,33,,,,
7600,Sulawesi Barat,39.7,,,,
8100,Maluku,28.9,,,,
8200,Maluku Utara,24.6,,,,
9100,Papua Barat,30.2,,,,
9400,Papua,27.9,,,,
